Ref,Val,Package,PosX,PosY,Rot,Side
R3103,23k,R_0603,236.500000,-165.250000,180.000000,top
R3201,1k,R_0603,188.800000,-229.950000,0.000000,top
R3202,10k,R_0603,188.950000,-227.150000,0.000000,top
R3203,49R9,R_0603,190.250000,-238.750000,180.000000,top
R3301,1k,R_0603,272.750000,-148.000000,0.000000,top
R3302,1k,R_0603,276.750000,-148.000000,180.000000,top
R3303,100k,R_0603,268.000000,-104.500000,270.000000,top
R3304,10R,R_0603,277.750000,-134.500000,90.000000,top
R3305,10k,R_0603,275.500000,-138.500000,180.000000,top
R3306,100k,R_0603,274.250000,-100.250000,180.000000,top
R3307,1k,R_0603,275.500000,-98.750000,180.000000,top
R3308,499R,R_0603,275.500000,-135.250000,180.000000,top
R3309,DNP,R_0603,280.750000,-87.250000,90.000000,top
R3310,49R9,R_0603,280.750000,-126.500000,90.000000,top
R3311,332R,R_0603,275.500000,-136.750000,180.000000,top
R3312,75R,R_0603,275.500000,-97.250000,0.000000,top
R3313,332R,R_0603,277.750000,-124.000000,90.000000,top
R3314,332R,R_0603,278.000000,-98.000000,90.000000,top
R3315,215R,R_0603,278.750000,-101.750000,180.000000,top
R3321,499R,R_0603,275.500000,-95.750000,180.000000,top
R3331,49R9,R_0603,277.750000,-84.250000,90.000000,top
R3401,1k,R_0603,291.000000,-144.500000,0.000000,top
R3402,1k,R_0603,291.000000,-142.000000,0.000000,top
R3403,10R,R_0603,300.000000,-134.500000,90.000000,top
R3404,10k,R_0603,297.500000,-139.750000,0.000000,top
R3405,69R8,R_0603,297.500000,-136.750000,0.000000,top
R3406,100k,R_0603,289.000000,-104.500000,270.000000,top
R3407,499R,R_0603,297.500000,-133.750000,180.000000,top
R3408,49R9,R_0603,302.750000,-126.500000,90.000000,top
R3409,49R9,R_0603,299.750000,-84.250000,90.000000,top
R3410,332R,R_0603,299.750000,-124.000000,90.000000,top
R3411,215R,R_0603,300.500000,-121.750000,180.000000,top
R3412,1k,R_0603,297.500000,-98.750000,180.000000,top
R3413,75R,R_0603,297.500000,-117.250000,180.000000,top
R3414,100k,R_0603,296.250000,-100.250000,180.000000,top
R3415,332R,R_0603,299.750000,-104.000000,90.000000,top
R3416,332R,R_0603,299.750000,-98.000000,90.000000,top
R3417,499R,R_0603,297.500000,-114.250000,180.000000,top
R3418,49R9,R_0603,302.750000,-107.000000,270.000000,top
R3419,332R,R_0603,299.750000,-118.000000,90.000000,top
R3420,215R,R_0603,300.500000,-101.750000,180.000000,top
R3423,75R,R_0603,297.500000,-97.250000,0.000000,top
R3427,499R,R_0603,297.500000,-94.250000,180.000000,top
R3428,10R,R_0603,302.500000,-87.250000,270.000000,top
R3501,1k,R_0603,293.500000,-175.000000,0.000000,top
R3502,0R,R_0603,293.750000,-163.999999,180.000000,top
R3503,DNP,R_0603,291.000000,-162.500000,180.000000,top
R3504,DNP,R_0603,291.000000,-164.000000,180.000000,top
R3601,100k,R_0603,282.250000,-165.250000,180.000000,top
R3602,23k,R_0603,279.500000,-163.750000,180.000000,top
R3603,23k,R_0603,279.500000,-165.250000,180.000000,top
R3701,1k,R_0603,193.100000,-229.950000,0.000000,top
R3702,10k,R_0603,193.300000,-227.150000,0.000000,top
R3703,49R9,R_0603,194.500000,-238.750000,180.000000,top
R3801,1k,R_0603,315.750000,-148.000000,0.000000,top
R3802,1k,R_0603,319.750000,-148.000000,180.000000,top
R3803,100k,R_0603,311.000000,-104.500000,270.000000,top
R3804,10R,R_0603,320.750000,-134.500000,90.000000,top
R3805,10k,R_0603,318.500000,-138.500000,180.000000,top
R3806,100k,R_0603,317.250000,-100.250000,180.000000,top
R3807,1k,R_0603,318.500000,-98.750000,180.000000,top
R3808,499R,R_0603,318.500000,-135.250000,180.000000,top
R3809,DNP,R_0603,323.750000,-87.250000,90.000000,top
R3810,49R9,R_0603,323.750000,-126.500000,90.000000,top
R3811,332R,R_0603,318.500000,-136.750000,180.000000,top
R3812,75R,R_0603,318.500000,-97.250000,0.000000,top
R3813,332R,R_0603,320.750000,-124.000000,90.000000,top
R3814,332R,R_0603,321.000000,-98.000000,90.000000,top
R3815,215R,R_0603,321.750000,-101.750000,180.000000,top
R3821,499R,R_0603,318.500000,-95.750000,180.000000,top
R3831,49R9,R_0603,320.750000,-84.250000,90.000000,top
R3836,1k,R_0603,207.500000,-176.250000,0.000000,top
R3901,1k,R_0603,334.000000,-144.500000,0.000000,top
R3902,1k,R_0603,334.000000,-142.000000,0.000000,top
R3903,10R,R_0603,343.000000,-134.500000,90.000000,top
R3904,10k,R_0603,340.500000,-139.750000,0.000000,top
R3905,69R8,R_0603,340.500000,-136.750000,0.000000,top
R3906,100k,R_0603,332.000000,-104.500000,270.000000,top
R3907,499R,R_0603,340.500000,-133.750000,180.000000,top
R3908,49R9,R_0603,345.750000,-126.500000,90.000000,top
R3909,49R9,R_0603,342.750000,-84.250000,90.000000,top
R3910,332R,R_0603,342.750000,-124.000000,90.000000,top
R3911,215R,R_0603,343.500000,-121.750000,180.000000,top
R3912,1k,R_0603,340.500000,-98.750000,180.000000,top
R3913,75R,R_0603,340.500000,-117.250000,180.000000,top
R3914,100k,R_0603,339.250000,-100.250000,180.000000,top
R3915,332R,R_0603,342.750000,-104.000000,90.000000,top
R3916,332R,R_0603,342.750000,-98.000000,90.000000,top
R3917,499R,R_0603,340.500000,-114.250000,180.000000,top
R3918,49R9,R_0603,345.750000,-107.000000,270.000000,top
R3919,332R,R_0603,342.750000,-118.000000,90.000000,top
R3920,215R,R_0603,343.500000,-101.750000,180.000000,top
R3923,75R,R_0603,340.500000,-97.250000,0.000000,top
R3927,499R,R_0603,340.500000,-94.250000,180.000000,top
R3928,10R,R_0603,345.500000,-87.250000,270.000000,top
R4001,1k,R_0603,336.500000,-175.000000,0.000000,top
